"","lr_pair","ligand","receptor"
"1310","Dll4_Notch4","Dll4","Notch4"
"1311","Dll3_Notch4","Dll3","Notch4"
"1312","Psen1_Notch4","Psen1","Notch4"
"1313","Jag1_Notch4","Jag1","Notch4"
"1314","Jag2_Notch4","Jag2","Notch4"
"1315","Il25_Il17rb","Il25","Il17rb"
"1316","Il17b_Il17rb","Il17b","Il17rb"
"1317","Apoe_Sdc4","Apoe","Sdc4"
"1318","Adam12_Sdc4","Adam12","Sdc4"
"1319","Ptn_Sdc4","Ptn","Sdc4"
"1320","Rspo3_Sdc4","Rspo3","Sdc4"
"1321","Ceacam1_Sdc4","Ceacam1","Sdc4"
"1322","Tnc_Sdc4","Tnc","Sdc4"
"1323","Cxcl10_Sdc4","Cxcl10","Sdc4"
"1324","Tgm2_Sdc4","Tgm2","Sdc4"
"1325","Fgf2_Sdc4","Fgf2","Sdc4"
"1326","Htra2_Cd40","Htra2","Cd40"
"1327","Ltb_Cd40","Ltb","Cd40"
"1328","Lgals9_Cd40","Lgals9","Cd40"
"1329","Tnf_Cd40","Tnf","Cd40"
"1330","Adam17_Cd40","Adam17","Cd40"
"1331","Cd40lg_Cd40","Cd40lg","Cd40"
"1332","Ntn1_Adora2b","Ntn1","Adora2b"
"1333","Ptpn6_Cd22","Ptpn6","Cd22"
"1334","St6gal1_Cd22","St6gal1","Cd22"
"1335","Ptgs2_Ptger1","Ptgs2","Ptger1"
"1336","Nmb_Nmbr","Nmb","Nmbr"
"1337","Grp_Nmbr","Grp","Nmbr"
"1338","Ptpn6_Ros1","Ptpn6","Ros1"
"1339","Ptpn11_Ros1","Ptpn11","Ros1"
"1340","Il19_Il20ra","Il19","Il20ra"
"1341","Il24_Il20ra","Il24","Il20ra"
"1342","Il20_Il20ra","Il20","Il20ra"
"1343","Ifng_Ifngr1","Ifng","Ifngr1"
"1344","Tac1_Tacr2","Tac1","Tacr2"
"1345","Tac2_Tacr2","Tac2","Tacr2"
"1346","Npvf_Npffr1","Npvf","Npffr1"
"1347","Npff_Npffr1","Npff","Npffr1"
"1348","Selplg_Vsir","Selplg","Vsir"
"1349","Cxcl12_Avpr1a","Cxcl12","Avpr1a"
"1350","Avp_Avpr1a","Avp","Avpr1a"
"1351","Ang_Egfr","Ang","Egfr"
"1352","Tnfsf12_Egfr","Tnfsf12","Egfr"
"1353","Egf_Egfr","Egf","Egfr"
"1354","Btc_Egfr","Btc","Egfr"
"1355","Ereg_Egfr","Ereg","Egfr"
"1356","Spink1_Egfr","Spink1","Egfr"
"1357","Il6_Egfr","Il6","Egfr"
"1358","Tnc_Egfr","Tnc","Egfr"
"1359","Hsp90aa1_Egfr","Hsp90aa1","Egfr"
"1360","Vcan_Egfr","Vcan","Egfr"
"1361","Postn_Egfr","Postn","Egfr"
"1362","Efnb1_Egfr","Efnb1","Egfr"
"1363","Hbegf_Egfr","Hbegf","Egfr"
"1364","Osm_Egfr","Osm","Egfr"
"1365","Areg_Egfr","Areg","Egfr"
"1366","Nrg1_Egfr","Nrg1","Egfr"
"1367","Lrig1_Egfr","Lrig1","Egfr"
"1368","Tgfa_Egfr","Tgfa","Egfr"
"1369","Epgn_Egfr","Epgn","Egfr"
"1370","Rspo1_Lgr5","Rspo1","Lgr5"
"1371","Rspo2_Lgr5","Rspo2","Lgr5"
"1372","Rspo3_Lgr5","Rspo3","Lgr5"
"1373","Rspo4_Lgr5","Rspo4","Lgr5"
"1374","Has2_Hmmr","Has2","Hmmr"
"1375","Pdgfc_Flt4","Pdgfc","Flt4"
"1376","Vegfd_Flt4","Vegfd","Flt4"
