src_gene,tgt_gene,score,rank,p_value
COL6A1,ITGB5,0.0009465555508469,122,0.0
NPNT,CD36,0.0009062204968506,123,0.01
CCL20,CCR1,0.0008298931817784,124,0.0
INHBB,XCR1,0.0008150767791732,125,0.0
TNC,CD44,0.0008064970113546,126,0.01
CXCL6,CCR2,0.0007567924462298,127,0.0
CXCL16,IL1RL2,0.0007534642969324,128,0.01
CXCL2,CXCR3,0.0007477356622425,129,0.01
FGF7,FLT4,0.0007280307507188,130,0.0
TNFSF12,TNFRSF13C,0.0007257948684843,131,0.0
WNT5B,ADCY1,0.0006941800011911,132,0.0
HSP90AA1,ITGA2B,0.0006614809387561,133,0.0
BMP6,IFNAR1,0.0006522809462874,134,0.0
VEGFA,IL6R,0.0006470847436374,135,0.01
XCL1,ACKR3,0.0006214604385229,136,0.0
GDF7,CCR10,0.0005996507950851,137,0.0
CCL7,CXCR2,0.0005936629131427,138,0.0
XCL2,TNFRSF11B,0.0005847210356739,139,0.0
BMP4,IFNLR1,0.0005594133886826,140,0.0
JAG1,NOTCH1,0.0005573356468618,141,0.01
CSF2,IL12RB2,0.0005542185257434,142,0.0
NLGN2,ITGB7,0.0005393706634791,143,0.0
IL16,IL6R,0.0005359269452404,144,0.0
RGMA,FZD3,0.0005300854188763,145,0.01
FARP2,FGFR2,0.0005133154103632,146,0.0
NRG2,KDR,0.0004893285192742,147,0.0
INHBA,TGFBR2,0.0004775324619682,148,0.0
GNAI2,ITGAL,0.0004692310343129,149,0.0
TGFB2,TEK,0.000465360464245,150,0.0
IL12A,IL12RB2,0.0004465396314905,151,0.0
MMP2,IL36RN,0.0004341075423705,152,0.0
LAMA3,ITGB3,0.0004328822065758,153,0.0
VEGFB,GHR,0.0004154718807367,154,0.0
BMP6,AMHR2,0.0004132091640587,155,0.0
SEMA3B,PLXNA1,0.0004089197032621,156,0.01
IL12A,CCR4,0.0004074478574722,157,0.0
IGF2,IL2RG,0.0003998029931752,158,0.0
CSF2,LIFR,0.000395302619922,159,0.0
CX3CL1,CCR2,0.0003866457364102,160,0.0
CXCL9,TNFRSF10D,0.000338644869456,161,0.0
NPPA,TLR4,0.0003370530464783,162,0.0
TGFB2,FAS,0.0003327173017381,163,0.0
CX3CL1,CCR6,0.0003272674697321,164,0.0
HLA-G,SMAD3,0.0002999639485745,165,0.0
COL9A3,OSMR,0.0002897644850805,166,0.0
CX3CL1,CX3CR1,0.0002748013252146,167,0.0
CCL16,CSF1R,0.000270870681862,168,0.0
ICAM1,IL2RG,0.0002674147496674,169,0.0
SERPINE1,BMPR1B,0.0002673872165496,170,0.0
CCL16,CCR5,0.0002644648258481,171,0.0
WNT11,FZD6,0.0002616451847357,172,0.0
SPP1,ITGB8,0.0002451629342171,173,0.0
B2M,HLA-F,0.0002429546052549,174,0.0
CCL3L3,CX3CR1,0.0002372001899849,175,0.01
CXCL12,LPAR2,0.0002367482304643,176,0.0
SELPLG,NRXN1,0.0002364315641928,177,0.0
IL15,IL2RB,0.0002310297754408,178,0.01
JAG1,LPAR1,0.000221491037733,179,0.0
FGA,F2RL2,0.0002171909742341,180,0.0
THBS2,ITGA3,0.0002135055747521,181,0.0
THBS2,FZD10,0.0002092731329643,182,0.0
IL12A,TLR6,0.0002045081467506,183,0.0
SST,ADCY8,0.0002011638329772,184,0.01
EFNB3,EPHB2,0.0001995746565921,185,0.0
CXCL1,IL2RA,0.0001957499118529,186,0.0
